catalognumber	CP	P	day	month	ANO	state	Amb	Longitude	Latitude
3747	10.9	24	09	10	1985	SãoPaulo	Grande	-49.4030600000	-20.6452800000
1191	12.1	22	09	01	1990	SãoPaulo	Grande	-49.3933300000	-21.1911100000
13036	7.3	6	15	10	1991	SãoPaulo	Grande	-49.3933300000	-21.1911100000
18337	5.3	2	17	01	1997	SãoPaulo	Grande	-49.3933300000	-21.1911100000
4140	15.3	56	04	01	1999	SãoPaulo	Grande	-49.3894400000	-20.8736100000
4140	17.2	92	04	01	1999	SãoPaulo	Grande	-49.3894400000	-20.8736100000
4097	6	5	27	03	1999	SãoPaulo	Grande	-49.3744400000	-20.8822200000
4086	19.4	129	28	03	1999	SãoPaulo	Grande	-49.3469400000	-20.9083300000
4118	6.5	4	25	04	1999	SãoPaulo	Grande	-49.3588900000	-20.8608300000
4118	8.1	9	25	04	1999	SãoPaulo	Grande	-49.3588900000	-20.8608300000
716	5.3	3	26	09	2001	SãoPaulo	Grande	-50.3727800000	-20.1719400000
716	5.4	3	26	09	2001	SãoPaulo	Grande	-50.3727800000	-20.1719400000
5134	6.9	5	18	03	2002	SãoPaulo	Grande	-50.5177800000	-20.1588900000
7214	8	7	15	10	2002	SãoPaulo	Grande	-49.3933300000	-21.1911100000
7214	4.6	2	15	10	2002	SãoPaulo	Grande	-49.3933300000	-21.1911100000
6979	6.5	5	06	02	2003	SãoPaulo	Grande	-50.3116700000	-21.2986100000
8457	16.1	70	17	02	2003	SãoPaulo	Grande	-47.7988900000	-22.4025000000
8457	10.8	18	17	02	2003	SãoPaulo	Grande	-47.7988900000	-22.4025000000
8457	6	3	17	02	2003	SãoPaulo	Grande	-47.7988900000	-22.4025000000
8457	6.3	4	17	02	2003	SãoPaulo	Grande	-47.7988900000	-22.4025000000
8457	6.2	3	17	02	2003	SãoPaulo	Grande	-47.7988900000	-22.4025000000
8457	4.7	1	17	02	2003	SãoPaulo	Grande	-47.7988900000	-22.4025000000
8457	5.2	2	17	02	2003	SãoPaulo	Grande	-47.7988900000	-22.4025000000
5864	5.5	2	15	03	2003	SãoPaulo	Grande	-49.7100000000	-20.7147200000
5878	11.5	22	16	03	2003	SãoPaulo	Grande	-49.8113900000	-20.7172200000
5878	10.6	17	16	03	2003	SãoPaulo	Grande	-49.8113900000	-20.7172200000
5878	10.1	15	16	03	2003	SãoPaulo	Grande	-49.8113900000	-20.7172200000
5878	8.5	9	16	03	2003	SãoPaulo	Grande	-49.8113900000	-20.7172200000
5878	7	6	16	03	2003	SãoPaulo	Grande	-49.8113900000	-20.7172200000
5561	5.5	3	21	05	2003	MinasGerais	Pequeno	-47.8230600000	-19.6611100000
5896	10.7	19	12	04	2003	SãoPaulo	Grande	-49.8925000000	-20.6255600000
5896	6.1	3	12	04	2003	SãoPaulo	Grande	-49.8925000000	-20.6255600000
5909	4.4	2	12	04	2003	SãoPaulo	Grande	-49.9683300000	-20.6127800000
5930	12.8	40	12	04	2003	SãoPaulo	Grande	-50.0211100000	-20.6741700000
5930	8.4	10	12	04	2003	SãoPaulo	Grande	-50.0211100000	-20.6741700000
5947	12.2	26	17	04	2003	SãoPaulo	Grande	-50.0213900000	-20.6313900000
5947	5.4	12	17	04	2003	SãoPaulo	Grande	-50.0213900000	-20.6313900000
5947	13.2	38	17	04	2003	SãoPaulo	Grande	-50.0213900000	-20.6313900000
5947	13.1	39	17	04	2003	SãoPaulo	Grande	-50.0213900000	-20.6313900000
5966	13.5	45	17	04	2003	SãoPaulo	Grande	-50.2816700000	-20.5975000000
5966	13	51	17	04	2003	SãoPaulo	Grande	-50.2816700000	-20.5975000000
5977	10.4	22	23	05	2003	SãoPaulo	Grande	-49.8869400000	-20.4758300000
5996	15.6	76	24	05	2003	SãoPaulo	Grande	-50.2633300000	-20.4441700000
6006	5.3	2	24	05	2003	SãoPaulo	Pequeno	-50.2844400000	-20.3294400000
6035	9.4	15	03	06	2003	SãoPaulo	Pequeno	-50.3208300000	-20.5283300000
6035	12.6	37	03	06	2003	SãoPaulo	Pequeno	-50.3208300000	-20.5283300000
6035	7	6	03	06	2003	SãoPaulo	Pequeno	-50.3208300000	-20.5283300000
6054	7	4	03	06	2003	SãoPaulo	Grande	-50.3716700000	-20.6286100000
6070	6.2	4	03	07	2003	SãoPaulo	Grande	-50.3716700000	-20.6286100000
6070	5.4	3	03	07	2003	SãoPaulo	Grande	-50.3716700000	-20.6286100000
6082	13.6	38	03	07	2003	SãoPaulo	Grande	-50.7580600000	-20.5969400000
6082	4.3	1	03	07	2003	SãoPaulo	Grande	-50.7580600000	-20.5969400000
6104	8.3	10	14	07	2003	SãoPaulo	Grande	-50.5858300000	-20.3830600000
6104	6.6	6	14	07	2003	SãoPaulo	Grande	-50.5858300000	-20.3830600000
6104	7	6	14	07	2003	SãoPaulo	Grande	-50.5858300000	-20.3830600000
6117	6.1	4	15	07	2003	SãoPaulo	Grande	-50.5850000000	-20.4633300000
6117	5.5	2	15	07	2003	SãoPaulo	Grande	-50.5850000000	-20.4633300000
6117	4.3	1	15	07	2003	SãoPaulo	Grande	-50.5850000000	-20.4633300000
6135	5.2	3	15	07	2003	SãoPaulo	Grande	-50.6786100000	-20.3475000000
6172	8.6	11	16	07	2003	SãoPaulo	Grande	-50.9269400000	-20.5188900000
7180	7.2	5	01	06	2003	SãoPaulo	Grande	-49.3933300000	-21.1911100000
7199	8.3	8	23	06	2003	SãoPaulo	Grande	-49.3933300000	-21.1911100000
7964	12.5	20	12	09	2003	SãoPaulo	Pequeno	-47.6977800000	-22.4608300000
7964	11.3	15	12	09	2003	SãoPaulo	Pequeno	-47.6977800000	-22.4608300000
7964	9.9	14	12	09	2003	SãoPaulo	Pequeno	-47.6977800000	-22.4608300000
5809	10.2	20	16	10	2003	SãoPaulo	Grande	-49.3444400000	-20.8375000000
5809	9.4	16	16	10	2003	SãoPaulo	Grande	-49.3444400000	-20.8375000000
7233	7.5	8	01	12	2003	SãoPaulo	Grande	-49.3933300000	-21.1911100000
7233	6	4	01	12	2003	SãoPaulo	Grande	-49.3933300000	-21.1911100000
7977	12.4	25	28	01	2004	SãoPaulo	Pequeno	-47.6983300000	-22.4616700000
7977	12.4	24	28	01	2004	SãoPaulo	Pequeno	-47.6983300000	-22.4616700000
7977	15.9	61	28	01	2004	SãoPaulo	Pequeno	-47.6983300000	-22.4616700000
7977	12.4	31	28	01	2004	SãoPaulo	Pequeno	-47.6983300000	-22.4616700000
7977	10.3	12	28	01	2004	SãoPaulo	Pequeno	-47.6983300000	-22.4616700000
7977	7.6	6	28	01	2004	SãoPaulo	Pequeno	-47.6983300000	-22.4616700000
7977	11.2	18	28	01	2004	SãoPaulo	Pequeno	-47.6983300000	-22.4616700000
7977	11.6	22	28	01	2004	SãoPaulo	Pequeno	-47.6983300000	-22.4616700000
7977	9.3	11	28	01	2004	SãoPaulo	Pequeno	-47.6983300000	-22.4616700000
7977	6.2	4	28	01	2004	SãoPaulo	Pequeno	-47.6983300000	-22.4616700000
7977	5.8	2	28	01	2004	SãoPaulo	Pequeno	-47.6983300000	-22.4616700000
7977	6.1	3	28	01	2004	SãoPaulo	Pequeno	-47.6983300000	-22.4616700000
7977	5.2	2	28	01	2004	SãoPaulo	Pequeno	-47.6983300000	-22.4616700000
7977	4.7	2	28	01	2004	SãoPaulo	Pequeno	-47.6983300000	-22.4616700000
7977	4.6	2	28	01	2004	SãoPaulo	Pequeno	-47.6983300000	-22.4616700000
6553	13.4	41	12	03	2004	SãoPaulo	Pequeno	-49.4913900000	-21.0352800000
6443	13.6	38	17	04	2004	SãoPaulo	Grande	-49.4577800000	-20.7850000000
6443	10.3	18	17	04	2004	SãoPaulo	Grande	-49.4577800000	-20.7850000000
6443	6.2	3	17	04	2004	SãoPaulo	Grande	-49.4577800000	-20.7850000000
6443	5.2	2	17	04	2004	SãoPaulo	Grande	-49.4577800000	-20.7850000000
8052	7.7	8	17	04	2004	SãoPaulo	Grande	-49.6688900000	-20.8341700000
8072	9	12	17	04	2004	SãoPaulo	Grande	-49.6902800000	-20.8016700000
6562	12.2	33	10	06	2004	SãoPaulo	Grande	-49.3519400000	-20.8411100000
6580	9.2	13	10	06	2004	SãoPaulo	Grande	-49.3191700000	-20.8377800000
6580	9.8	15	10	06	2004	SãoPaulo	Grande	-49.3191700000	-20.8377800000
6580	6.9	6	10	06	2004	SãoPaulo	Grande	-49.3191700000	-20.8377800000
6585	12.5	29	11	06	2004	SãoPaulo	Grande	-49.4577800000	-20.7850000000
6585	11	18	11	06	2004	SãoPaulo	Grande	-49.4577800000	-20.7850000000
6585	5.6	3	11	06	2004	SãoPaulo	Grande	-49.4577800000	-20.7850000000
7381	5.2	3	23	06	2004	SãoPaulo	Grande	-50.6877800000	-20.2222200000
7419	13.2	44	24	06	2004	SãoPaulo	Grande	-50.7758300000	-20.1430600000
7437	11	19	24	06	2004	SãoPaulo	Grande	-50.9411100000	-20.0791700000
7437	9.5	15	24	06	2004	SãoPaulo	Grande	-50.9411100000	-20.0791700000
7437	10.9	19	24	06	2004	SãoPaulo	Grande	-50.9411100000	-20.0791700000
7437	10.3	17	24	06	2004	SãoPaulo	Grande	-50.9411100000	-20.0791700000
7437	12.3	38	24	06	2004	SãoPaulo	Grande	-50.9411100000	-20.0791700000
7437	7.4	7	24	06	2004	SãoPaulo	Grande	-50.9411100000	-20.0791700000
7437	10.9	23	24	06	2004	SãoPaulo	Grande	-50.9411100000	-20.0791700000
7437	11.3	28	24	06	2004	SãoPaulo	Grande	-50.9411100000	-20.0791700000
